Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
1420;Frankfurt/Main;V_N;05.12.1984-19:00;05.12.1984-19:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;07.12.1984-23:00;07.12.1984-23:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;28.12.1984-04:00;28.12.1984-04:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;04.01.1985-12:00;04.01.1985-12:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;19.01.1985-01:00;19.01.1985-01:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;28.01.1985-16:00;28.01.1985-16:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;08.02.1985-22:00;08.02.1985-22:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;01.03.1985-07:00;01.03.1985-07:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;11.03.1985-11:00;11.03.1985-11:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;16.03.1985-04:00;16.03.1985-04:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;28.03.1985-16:00;28.03.1985-16:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;28.03.1985-18:00;28.03.1985-18:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;29.03.1985-19:00;29.03.1985-19:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;12.04.1985-19:00;12.04.1985-19:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;15.06.1985-07:00;15.06.1985-07:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;10.07.1985-02:00;10.07.1985-02:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;10.07.1985-13:00;10.07.1985-13:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;28.07.1985-11:00;28.07.1985-11:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;26.08.1985-01:00;26.08.1985-01:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;31.08.1985-11:00;31.08.1985-11:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;28.09.1985-22:00;28.09.1985-22:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;18.10.1985-07:00;18.10.1985-07:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;22.10.1985-06:00;22.10.1985-06:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;02.11.1985-07:00;02.11.1985-07:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;23.12.1985-20:00;23.12.1985-20:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;24.12.1985-17:00;24.12.1985-17:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;29.12.1985-11:00;29.12.1985-11:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;01.01.1986-07:00;01.01.1986-07:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;13.01.1986-07:00;13.01.1986-07:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;13.01.1986-14:00;13.01.1986-14:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;15.01.1986-07:00;15.01.1986-07:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;18.01.1986-18:00;18.01.1986-18:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;12.02.1986-05:00;12.02.1986-05:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;17.02.1986-23:00;17.02.1986-23:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;01.03.1986-03:00;01.03.1986-03:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;21.03.1986-23:00;21.03.1986-23:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;03.04.1986-13:00;03.04.1986-13:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;15.04.1986-14:00;15.04.1986-14:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;09.05.1986-07:00;09.05.1986-07:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;14.05.1986-07:00;14.05.1986-07:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;03.07.1986-01:00;03.07.1986-01:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;21.08.1986-20:00;21.08.1986-20:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;31.08.1986-23:00;31.08.1986-23:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;26.09.1986-05:00;26.09.1986-05:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;08.11.1986-21:00;08.11.1986-21:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;11.04.1987-11:00;11.04.1987-11:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;27.04.1987-16:00;27.04.1987-16:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;13.05.1987-01:00;13.05.1987-01:00;1;;eor;                                                                                                                                       
